"","DistrictName","WithDTP","WithPolio","WithMMR","WithHepB","PctUpToDate","DistrictComplete","PctBeliefExempt","PctMedicalExempt","PctChildPoverty","PctFamilyPoverty","PctFreeMeal","Enrolled","TotalSchools"
"316","Springville Union Elementary",96,96,96,96,96,TRUE,4,0,26,2,39,24,1
"320","Lindsay Unified",98,99,98,100,98,TRUE,0,0,53,31,NA,359,6
"804","Jacoby Creek Elementary",79,77,77,84,77,TRUE,9,0,12,5,NA,43,1
"459","Round Valley Joint Elementary",100,100,100,100,100,TRUE,0,0,12,3,30,13,1
"772","Shaffer Union Elementary",57,57,52,83,52,TRUE,0,0,20,11,55,23,1
"61","Menifee Union Elementary",95,95,95,95,94,TRUE,4,0,15,7,NA,1208,10
"728","Biggs Unified",80,80,80,91,74,TRUE,9,0,33,18,70,35,1
"522","San Francisco Unified",90,90,93,92,88,TRUE,1,0,17,8,NA,4552,73
"700","Clear Creek Elementary",76,76,76,76,76,TRUE,19,0,14,6,NA,21,1
"220","Solvang Elementary",89,89,89,89,89,TRUE,11,0,11,1,39,93,1
"628","Davis Joint Unified",95,96,95,95,94,TRUE,4,0,9,8,20,604,9
"322","Oak Valley Union Elementary",95,92,95,98,90,TRUE,2,0,35,15,73,63,1
"797","Bella Vista Elementary",92,92,92,92,92,TRUE,8,0,18,8,54,36,1
"28","Brawley Elementary",98,98,98,99,97,TRUE,0,0,31,21,65,463,4
"558","Knightsen Elementary",100,100,98,100,98,TRUE,0,0,19,18,34,55,1
"95","Fullerton Elementary",96,96,96,97,95,TRUE,3,0,19,10,NA,1448,17
"517","Salida Union Elementary",97,97,97,97,96,TRUE,3,0,19,8,NA,290,3
"443","Newman-Crows Landing Unified",85,85,85,98,85,TRUE,2,0,26,19,57,273,4
"655","Woodland Joint Unified",98,98,98,98,97,TRUE,1,0,17,8,59,872,11
"737","Pioneer Union Elementary",100,99,99,100,99,TRUE,0,0,23,7,31,228,3
"584","Shoreline Unified",86,89,89,89,84,TRUE,5,0,7,4,48,37,2
"96","Placentia-Yorba Linda Unified",93,93,92,95,91,TRUE,4,0,12,6,NA,2124,21
"160","San Marino Unified",96,96,92,98,89,TRUE,0,0,8,3,NA,179,2
"739","Plaza Elementary",94,94,94,94,94,TRUE,0,6,21,3,19,17,1
"415","Pacific Elementary",73,73,73,73,73,TRUE,27,0,10,5,NA,15,1
"397","Pajaro Valley Unified",95,95,95,97,94,TRUE,2,0,24,14,NA,1812,19
"227","Hughes-Elizabeth Lakes Union Elementary",64,64,64,64,64,TRUE,28,0,19,5,41,25,1
"718","Upper Lake Union Elementary",89,89,89,89,89,TRUE,11,0,27,14,NA,64,1
"473","Turlock Unified",96,96,96,97,96,TRUE,3,0,24,13,50,1082,9
"462","Bass Lake Joint Union Elementary",87,87,87,90,87,TRUE,6,0,24,10,NA,140,2
"616","Kenwood",90,90,90,90,90,TRUE,5,5,8,3,11,20,1
"774","Cascade Union Elementary",82,83,82,93,79,TRUE,2,0,30,15,80,157,1
"673","Marcum-Illinois Union Elementary",47,47,47,47,47,TRUE,53,0,15,4,36,153,2
"626","Forestville Union Elementary",92,92,92,94,92,TRUE,6,0,15,6,46,49,1
"821","Surprise Valley Joint Unified",92,92,92,83,83,TRUE,0,8,28,17,61,12,1
"251","Mojave Unified",93,95,92,96,88,TRUE,1,0,47,24,82,252,2
"53","Capistrano Unified",78,80,78,85,72,TRUE,9,1,9,4,NA,3658,39
"358","Alvina Elementary",100,100,100,100,100,TRUE,0,0,48,19,72,19,1
"614","Dixon Unified",98,98,99,99,97,TRUE,0,0,12,7,53,221,3
"592","Twain Harte",93,93,93,93,93,TRUE,7,0,11,6,54,41,1
"204","Sulphur Springs Union",80,81,81,88,78,TRUE,9,0,17,7,38,822,9
"622","Amador County Unified",84,85,82,87,82,TRUE,10,0,16,6,NA,291,6
