index,date,day_of_week,day_night,v_name,h_name,h_wins_last_30,h_hr_last_30,h_hits_last_30,h_runs_last_30,h_game_number,attendance
147815,2007-04-18,Wed,N,CLE,NYA,15,1.4,9.733333333333333,5.833333333333333,13,41379
147816,2007-04-18,Wed,D,ANA,OAK,16,0.7,8.233333333333333,4.333333333333333,15,17322
147817,2007-04-18,Wed,N,MIN,SEA,15,1.4,10.166666666666666,5.5,10,20871
147818,2007-04-18,Wed,D,BAL,TBA,10,1.1333333333333333,9,4.466666666666667,15,10540
147819,2007-04-18,Wed,N,BOS,TOR,20,1.0666666666666667,10.266666666666667,5.466666666666667,14,20188
147820,2007-04-19,Thu,N,CHN,ATL,19,1.5666666666666667,8.9,5.466666666666667,15,31603
147821,2007-04-19,Thu,N,HOU,CIN,15,0.8,7.533333333333333,3.6,16,14222
147822,2007-04-19,Thu,D,LAN,COL,15,1.0333333333333334,9.833333333333334,5.9,16,19135
147823,2007-04-19,Thu,N,NYN,MIA,11,1.0333333333333334,9.233333333333333,4.366666666666666,15,18115
147824,2007-04-19,Thu,D,PIT,MIL,17,1.1,9.266666666666667,5.066666666666666,15,17386
147825,2007-04-19,Thu,D,ARI,SDN,19,0.8666666666666667,8.866666666666667,4.133333333333334,16,32224
147826,2007-04-19,Thu,D,SLN,SFN,8,0.8,8.633333333333333,4.166666666666667,14,37398
147827,2007-04-19,Thu,D,PHI,WAS,13,0.5666666666666667,8.5,3.7333333333333334,16,18671
147828,2007-04-19,Thu,N,TEX,CHA,13,1.2666666666666666,7.7,3.933333333333333,14,25459
147829,2007-04-19,Thu,D,CLE,NYA,15,1.4333333333333333,9.833333333333334,5.9,14,40872
147830,2007-04-19,Thu,D,MIN,SEA,15,1.4,10.2,5.566666666666666,11,19350
147831,2007-04-19,Thu,D,BOS,TOR,19,1,10.033333333333333,5.166666666666667,15,33297
147832,2007-04-20,Fri,D,SLN,CHN,13,1.0666666666666667,9.333333333333334,5.033333333333333,16,38955
147833,2007-04-20,Fri,N,PHI,CIN,15,0.8666666666666667,7.733333333333333,3.8,17,32962
147834,2007-04-20,Fri,N,SDN,COL,15,1,9.666666666666666,5.733333333333333,17,22338
147835,2007-04-20,Fri,N,WAS,MIA,10,1,9.033333333333333,4.266666666666667,16,16469
147836,2007-04-20,Fri,N,PIT,LAN,21,1.0333333333333334,9.266666666666667,5.3,17,43845
147837,2007-04-20,Fri,N,HOU,MIL,17,1.0666666666666667,9.433333333333334,5.133333333333334,16,41522
147838,2007-04-20,Fri,N,ATL,NYN,17,0.8666666666666667,9.633333333333333,5,15,47547
147839,2007-04-20,Fri,N,ARI,SFN,9,0.7666666666666667,8.433333333333334,4.1,15,39010
147840,2007-04-20,Fri,N,SEA,ANA,16,0.9,9.266666666666667,3.966666666666667,16,43359
147841,2007-04-20,Fri,N,TOR,BAL,15,1,9.466666666666667,4.533333333333333,16,25025
147842,2007-04-20,Fri,N,NYA,BOS,17,0.9,8.133333333333333,4.533333333333333,15,36786
147843,2007-04-20,Fri,N,CHA,DET,16,1.1666666666666667,9.233333333333333,5.533333333333333,16,40685
147844,2007-04-20,Fri,N,MIN,KCA,9,0.7,8.633333333333333,4.066666666666666,16,31813
147845,2007-04-20,Fri,N,CLE,TBA,10,1.1666666666666667,8.9,4.466666666666667,16,13391
147846,2007-04-20,Fri,N,OAK,TEX,12,1.2,8.366666666666667,5.066666666666666,16,29782
147847,2007-04-21,Sat,D,SLN,CHN,13,1.0666666666666667,9.366666666666667,5.066666666666666,17,41637
147848,2007-04-21,Sat,N,PHI,CIN,16,0.9,7.6,3.7666666666666666,18,39353
147849,2007-04-21,Sat,N,SDN,COL,14,0.9666666666666667,9.633333333333333,5.566666666666666,18,22795
147850,2007-04-21,Sat,N,WAS,MIA,10,1.1,9.2,4.4,17,24107
147851,2007-04-21,Sat,N,PIT,LAN,22,1.0333333333333334,9.566666666666666,5.6,18,48995
147852,2007-04-21,Sat,N,HOU,MIL,17,1.1,9.4,5.133333333333334,17,41209
147853,2007-04-21,Sat,D,ATL,NYN,17,0.9,9.666666666666666,5.033333333333333,16,55143
147854,2007-04-21,Sat,D,ARI,SFN,9,0.7666666666666667,8.366666666666667,4.066666666666666,16,36281
147855,2007-04-21,Sat,N,SEA,ANA,16,0.9333333333333333,9.5,4.166666666666667,17,43752
147856,2007-04-21,Sat,N,TOR,BAL,16,1.0333333333333334,9.533333333333333,4.7,17,25898
147857,2007-04-21,Sat,D,NYA,BOS,17,0.9333333333333333,8.233333333333333,4.6,16,36342
147858,2007-04-21,Sat,D,CHA,DET,15,1.2,9.266666666666667,5.6,17,39618
147859,2007-04-21,Sat,D,MIN,KCA,10,0.7666666666666667,8.766666666666667,4.166666666666667,17,20566
147860,2007-04-21,Sat,N,CLE,TBA,10,1.2,8.9,4.533333333333333,17,22805
147861,2007-04-21,Sat,N,OAK,TEX,12,1.2,8.566666666666666,5.166666666666667,17,42945
147862,2007-04-22,Sun,D,SLN,CHN,13,1.1,9.366666666666667,5.133333333333334,18,40193
147863,2007-04-22,Sun,D,PHI,CIN,16,0.8666666666666667,7.466666666666667,3.7,19,29717
147864,2007-04-22,Sun,D,SDN,COL,13,0.8333333333333334,9.466666666666667,5,19,25746
147865,2007-04-22,Sun,D,WAS,MIA,11,1.1,9.266666666666667,4.466666666666667,18,18443
147866,2007-04-22,Sun,D,PIT,LAN,22,0.8333333333333334,9.233333333333333,5.466666666666667,19,46741
147867,2007-04-22,Sun,D,HOU,MIL,18,1.1666666666666667,9.633333333333333,5.3,18,31985
147868,2007-04-22,Sun,D,ATL,NYN,18,1,9.733333333333333,5.266666666666667,17,55671
147869,2007-04-22,Sun,D,ARI,SFN,10,0.7333333333333333,8.266666666666667,3.966666666666667,17,36868
147870,2007-04-22,Sun,D,SEA,ANA,17,0.9333333333333333,9.433333333333334,4.2,18,43628
147871,2007-04-22,Sun,D,TOR,BAL,16,0.9,9.233333333333333,4.466666666666667,18,27285
147872,2007-04-22,Sun,N,NYA,BOS,18,0.9666666666666667,8.3,4.666666666666667,17,36905
147873,2007-04-22,Sun,D,CHA,DET,15,1.2333333333333334,9.233333333333333,5.5,18,38379
147874,2007-04-22,Sun,D,MIN,KCA,9,0.8,8.733333333333333,4.1,18,14801
